tensorized | epoch 128 | top1=0.2457 top2=0.3595 top3=0.4380 top4=0.4957 top5=0.5422 loss=0.047504 time=33.69s
tensorized | epoch 129 | top1=0.2480 top2=0.3615 top3=0.4385 top4=0.4986 top5=0.5457 loss=0.047391 time=33.67s
tensorized | epoch 130 | top1=0.2471 top2=0.3619 top3=0.4417 top4=0.5002 top5=0.5447 loss=0.047300 time=33.72s
tensorized | epoch 131 | top1=0.2501 top2=0.3657 top3=0.4445 top4=0.5034 top5=0.5490 loss=0.047167 time=33.70s
tensorized | epoch 132 | top1=0.2510 top2=0.3665 top3=0.4471 top4=0.5046 top5=0.5507 loss=0.047036 time=33.66s
tensorized | epoch 133 | top1=0.2492 top2=0.3664 top3=0.4459 top4=0.5045 top5=0.5498 loss=0.047075 time=33.59s
tensorized | epoch 134 | top1=0.2529 top2=0.3689 top3=0.4472 top4=0.5061 top5=0.5504 loss=0.046890 time=33.63s
tensorized | epoch 135 | top1=0.2523 top2=0.3691 top3=0.4476 top4=0.5075 top5=0.5536 loss=0.046839 time=33.62s
tensorized | epoch 136 | top1=0.2568 top2=0.3727 top3=0.4520 top4=0.5087 top5=0.5553 loss=0.046683 time=33.65s
tensorized | epoch 137 | top1=0.2581 top2=0.3751 top3=0.4520 top4=0.5103 top5=0.5564 loss=0.046634 time=33.56s
tensorized | epoch 138 | top1=0.2558 top2=0.3722 top3=0.4535 top4=0.5107 top5=0.5557 loss=0.046638 time=33.70s
tensorized | epoch 139 | top1=0.2552 top2=0.3737 top3=0.4530 top4=0.5118 top5=0.5578 loss=0.046549 time=33.71s
tensorized | epoch 140 | top1=0.2590 top2=0.3766 top3=0.4575 top4=0.5157 top5=0.5600 loss=0.046324 time=33.59s
tensorized | epoch 141 | top1=0.2581 top2=0.3767 top3=0.4536 top4=0.5117 top5=0.5580 loss=0.046406 time=33.70s
tensorized | epoch 142 | top1=0.2616 top2=0.3783 top3=0.4571 top4=0.5164 top5=0.5625 loss=0.046347 time=33.65s
tensorized | epoch 143 | top1=0.2585 top2=0.3777 top3=0.4573 top4=0.5150 top5=0.5608 loss=0.046296 time=33.70s
tensorized | epoch 144 | top1=0.2623 top2=0.3790 top3=0.4595 top4=0.5187 top5=0.5622 loss=0.046196 time=33.69s
tensorized | epoch 145 | top1=0.2622 top2=0.3807 top3=0.4600 top4=0.5187 top5=0.5659 loss=0.046124 time=33.75s
tensorized | epoch 146 | top1=0.2617 top2=0.3818 top3=0.4610 top4=0.5200 top5=0.5666 loss=0.046046 time=33.71s
tensorized | epoch 147 | top1=0.2627 top2=0.3824 top3=0.4614 top4=0.5216 top5=0.5673 loss=0.045997 time=33.74s
tensorized | epoch 148 | top1=0.2643 top2=0.3861 top3=0.4644 top4=0.5237 top5=0.5696 loss=0.045881 time=33.66s
tensorized | epoch 149 | top1=0.2643 top2=0.3843 top3=0.4629 top4=0.5222 top5=0.5685 loss=0.045889 time=33.62s
tensorized | epoch 150 | top1=0.2680 top2=0.3856 top3=0.4639 top4=0.5235 top5=0.5706 loss=0.045665 time=33.72s
tensorized | epoch 151 | top1=0.2660 top2=0.3875 top3=0.4663 top4=0.5252 top5=0.5729 loss=0.045728 time=33.61s
tensorized | epoch 152 | top1=0.2662 top2=0.3886 top3=0.4676 top4=0.5270 top5=0.5731 loss=0.045589 time=33.68s
tensorized | epoch 153 | top1=0.2679 top2=0.3899 top3=0.4699 top4=0.5285 top5=0.5757 loss=0.045512 time=33.69s
tensorized | epoch 154 | top1=0.2687 top2=0.3884 top3=0.4704 top4=0.5305 top5=0.5764 loss=0.045452 time=33.57s
tensorized | epoch 155 | top1=0.2689 top2=0.3925 top3=0.4709 top4=0.5285 top5=0.5768 loss=0.045367 time=33.62s
tensorized | epoch 156 | top1=0.2683 top2=0.3906 top3=0.4694 top4=0.5284 top5=0.5756 loss=0.045407 time=33.74s
tensorized | epoch 157 | top1=0.2717 top2=0.3935 top3=0.4753 top4=0.5349 top5=0.5800 loss=0.045213 time=33.63s
tensorized | epoch 158 | top1=0.2734 top2=0.3947 top3=0.4750 top4=0.5354 top5=0.5796 loss=0.045198 time=33.73s
tensorized | epoch 159 | top1=0.2703 top2=0.3919 top3=0.4730 top4=0.5334 top5=0.5794 loss=0.045222 time=33.73s
tensorized | epoch 160 | top1=0.2738 top2=0.3951 top3=0.4760 top4=0.5356 top5=0.5825 loss=0.045073 time=33.76s
tensorized | epoch 161 | top1=0.2737 top2=0.3971 top3=0.4773 top4=0.5346 top5=0.5794 loss=0.045080 time=33.63s
tensorized | epoch 162 | top1=0.2763 top2=0.3984 top3=0.4785 top4=0.5373 top5=0.5827 loss=0.044939 time=33.74s
tensorized | epoch 163 | top1=0.2744 top2=0.3965 top3=0.4782 top4=0.5368 top5=0.5832 loss=0.044999 time=33.75s
tensorized | epoch 164 | top1=0.2771 top2=0.3994 top3=0.4793 top4=0.5383 top5=0.5830 loss=0.044885 time=33.59s
tensorized | epoch 165 | top1=0.2780 top2=0.4005 top3=0.4810 top4=0.5391 top5=0.5855 loss=0.044803 time=33.58s
tensorized | epoch 166 | top1=0.2790 top2=0.4008 top3=0.4812 top4=0.5411 top5=0.5863 loss=0.044743 time=33.66s
tensorized | epoch 167 | top1=0.2779 top2=0.3993 top3=0.4797 top4=0.5373 top5=0.5839 loss=0.044767 time=33.72s
tensorized | epoch 168 | top1=0.2814 top2=0.4032 top3=0.4842 top4=0.5424 top5=0.5872 loss=0.044648 time=33.64s
tensorized | epoch 169 | top1=0.2816 top2=0.4033 top3=0.4852 top4=0.5423 top5=0.5873 loss=0.044547 time=33.72s
tensorized | epoch 170 | top1=0.2789 top2=0.4025 top3=0.4848 top4=0.5431 top5=0.5879 loss=0.044608 time=33.64s
tensorized | epoch 171 | top1=0.2820 top2=0.4058 top3=0.4861 top4=0.5453 top5=0.5879 loss=0.044425 time=33.83s
tensorized | epoch 172 | top1=0.2849 top2=0.4087 top3=0.4874 top4=0.5454 top5=0.5904 loss=0.044359 time=33.65s
tensorized | epoch 173 | top1=0.2841 top2=0.4088 top3=0.4872 top4=0.5464 top5=0.5907 loss=0.044371 time=33.70s
tensorized | epoch 174 | top1=0.2869 top2=0.4111 top3=0.4898 top4=0.5477 top5=0.5928 loss=0.044191 time=33.58s
tensorized | epoch 175 | top1=0.2842 top2=0.4088 top3=0.4892 top4=0.5469 top5=0.5923 loss=0.044248 time=33.64s
tensorized | epoch 176 | top1=0.2843 top2=0.4114 top3=0.4939 top4=0.5518 top5=0.5973 loss=0.044038 time=33.70s
tensorized | epoch 177 | top1=0.2865 top2=0.4105 top3=0.4910 top4=0.5491 top5=0.5945 loss=0.044139 time=33.79s
tensorized | epoch 178 | top1=0.2883 top2=0.4122 top3=0.4932 top4=0.5500 top5=0.5951 loss=0.044017 time=33.78s
tensorized | epoch 179 | top1=0.2867 top2=0.4128 top3=0.4934 top4=0.5511 top5=0.5976 loss=0.043945 time=33.65s
tensorized | epoch 180 | top1=0.2885 top2=0.4131 top3=0.4938 top4=0.5533 top5=0.5992 loss=0.043838 time=33.51s
tensorized | epoch 181 | top1=0.2941 top2=0.4177 top3=0.4969 top4=0.5573 top5=0.6024 loss=0.043640 time=33.66s
tensorized | epoch 182 | top1=0.2899 top2=0.4169 top3=0.4960 top4=0.5558 top5=0.6023 loss=0.043730 time=33.63s
tensorized | epoch 183 | top1=0.2916 top2=0.4155 top3=0.4929 top4=0.5515 top5=0.5977 loss=0.043792 time=33.71s
tensorized | epoch 184 | top1=0.2922 top2=0.4169 top3=0.4980 top4=0.5569 top5=0.6036 loss=0.043595 time=33.69s
tensorized | epoch 185 | top1=0.2942 top2=0.4210 top3=0.5001 top4=0.5583 top5=0.6036 loss=0.043497 time=33.70s
tensorized | epoch 186 | top1=0.2944 top2=0.4214 top3=0.5013 top4=0.5606 top5=0.6059 loss=0.043475 time=33.64s
tensorized | epoch 187 | top1=0.2929 top2=0.4175 top3=0.5009 top4=0.5612 top5=0.6064 loss=0.043474 time=33.58s
tensorized | epoch 188 | top1=0.2925 top2=0.4182 top3=0.5009 top4=0.5589 top5=0.6055 loss=0.043475 time=33.68s
tensorized | epoch 189 | top1=0.2961 top2=0.4234 top3=0.5042 top4=0.5614 top5=0.6056 loss=0.043364 time=33.64s
tensorized | epoch 190 | top1=0.2973 top2=0.4251 top3=0.5054 top4=0.5624 top5=0.6083 loss=0.043165 time=33.76s
tensorized | epoch 191 | top1=0.2980 top2=0.4235 top3=0.5063 top4=0.5629 top5=0.6084 loss=0.043137 time=33.71s
tensorized | epoch 192 | top1=0.2989 top2=0.4244 top3=0.5056 top4=0.5636 top5=0.6087 loss=0.043077 time=33.56s
tensorized | epoch 193 | top1=0.2978 top2=0.4270 top3=0.5090 top4=0.5663 top5=0.6125 loss=0.043050 time=33.67s
tensorized | epoch 194 | top1=0.2997 top2=0.4245 top3=0.5073 top4=0.5663 top5=0.6114 loss=0.043051 time=33.62s
tensorized | epoch 195 | top1=0.3013 top2=0.4285 top3=0.5095 top4=0.5673 top5=0.6133 loss=0.042876 time=33.71s
tensorized | epoch 196 | top1=0.3028 top2=0.4301 top3=0.5092 top4=0.5687 top5=0.6141 loss=0.042899 time=33.72s
tensorized | epoch 197 | top1=0.3043 top2=0.4301 top3=0.5117 top4=0.5702 top5=0.6165 loss=0.042715 time=33.57s
tensorized | epoch 198 | top1=0.3048 top2=0.4310 top3=0.5125 top4=0.5696 top5=0.6160 loss=0.042739 time=33.73s
tensorized | epoch 199 | top1=0.3045 top2=0.4296 top3=0.5111 top4=0.5716 top5=0.6168 loss=0.042682 time=33.60s
tensorized | epoch 200 | top1=0.3047 top2=0.4324 top3=0.5123 top4=0.5727 top5=0.6197 loss=0.042562 time=33.69s
