original | epoch 161 | top1=0.1900 top2=0.2540 top3=0.2952 top4=0.3248 top5=0.3478 loss=0.117043 time=218.97s
original | epoch 162 | top1=0.1914 top2=0.2551 top3=0.2952 top4=0.3252 top5=0.3485 loss=0.117174 time=218.99s
original | epoch 163 | top1=0.1926 top2=0.2567 top3=0.2974 top4=0.3271 top5=0.3507 loss=0.117010 time=218.50s
original | epoch 164 | top1=0.1977 top2=0.2626 top3=0.3036 top4=0.3335 top5=0.3566 loss=0.116872 time=218.78s
original | epoch 165 | top1=0.1958 top2=0.2621 top3=0.3027 top4=0.3318 top5=0.3550 loss=0.116814 time=219.17s
original | epoch 166 | top1=0.1943 top2=0.2607 top3=0.3012 top4=0.3310 top5=0.3542 loss=0.116319 time=219.17s
original | epoch 167 | top1=0.1972 top2=0.2645 top3=0.3052 top4=0.3336 top5=0.3574 loss=0.116249 time=218.98s
original | epoch 168 | top1=0.1977 top2=0.2632 top3=0.3042 top4=0.3349 top5=0.3589 loss=0.117001 time=219.37s
original | epoch 169 | top1=0.1965 top2=0.2610 top3=0.3020 top4=0.3317 top5=0.3553 loss=0.116373 time=219.17s
original | epoch 170 | top1=0.1994 top2=0.2665 top3=0.3061 top4=0.3357 top5=0.3594 loss=0.115839 time=218.83s
original | epoch 171 | top1=0.2005 top2=0.2692 top3=0.3112 top4=0.3417 top5=0.3652 loss=0.116647 time=218.67s
original | epoch 172 | top1=0.1994 top2=0.2647 top3=0.3069 top4=0.3358 top5=0.3595 loss=0.116592 time=218.66s
original | epoch 173 | top1=0.1948 top2=0.2600 top3=0.3009 top4=0.3305 top5=0.3538 loss=0.116655 time=218.58s
original | epoch 174 | top1=0.2008 top2=0.2661 top3=0.3070 top4=0.3379 top5=0.3612 loss=0.116039 time=218.65s
original | epoch 175 | top1=0.1993 top2=0.2652 top3=0.3057 top4=0.3349 top5=0.3593 loss=0.116280 time=219.13s
original | epoch 176 | top1=0.1949 top2=0.2605 top3=0.3002 top4=0.3297 top5=0.3529 loss=0.116303 time=218.49s
original | epoch 177 | top1=0.1994 top2=0.2649 top3=0.3058 top4=0.3356 top5=0.3597 loss=0.115886 time=219.00s
original | epoch 178 | top1=0.1981 top2=0.2648 top3=0.3058 top4=0.3357 top5=0.3589 loss=0.115759 time=218.75s
original | epoch 179 | top1=0.1978 top2=0.2646 top3=0.3052 top4=0.3338 top5=0.3570 loss=0.115480 time=218.79s
original | epoch 180 | top1=0.2062 top2=0.2741 top3=0.3160 top4=0.3466 top5=0.3704 loss=0.115698 time=218.60s
original | epoch 181 | top1=0.1972 top2=0.2635 top3=0.3042 top4=0.3336 top5=0.3572 loss=0.115869 time=218.69s
original | epoch 182 | top1=0.1969 top2=0.2630 top3=0.3029 top4=0.3321 top5=0.3545 loss=0.114869 time=218.61s
original | epoch 183 | top1=0.1970 top2=0.2624 top3=0.3029 top4=0.3332 top5=0.3553 loss=0.115160 time=218.82s
original | epoch 184 | top1=0.2047 top2=0.2719 top3=0.3129 top4=0.3427 top5=0.3662 loss=0.115257 time=218.79s
original | epoch 185 | top1=0.2062 top2=0.2740 top3=0.3150 top4=0.3451 top5=0.3683 loss=0.115570 time=218.62s
original | epoch 186 | top1=0.2045 top2=0.2712 top3=0.3123 top4=0.3418 top5=0.3649 loss=0.116195 time=218.97s
original | epoch 187 | top1=0.2038 top2=0.2707 top3=0.3119 top4=0.3418 top5=0.3656 loss=0.114874 time=218.98s
original | epoch 188 | top1=0.2031 top2=0.2686 top3=0.3101 top4=0.3400 top5=0.3629 loss=0.114897 time=218.80s
original | epoch 189 | top1=0.2070 top2=0.2746 top3=0.3151 top4=0.3439 top5=0.3682 loss=0.115114 time=219.23s
original | epoch 190 | top1=0.2048 top2=0.2744 top3=0.3159 top4=0.3459 top5=0.3692 loss=0.114932 time=219.12s
original | epoch 191 | top1=0.2030 top2=0.2689 top3=0.3090 top4=0.3391 top5=0.3618 loss=0.114639 time=219.05s
original | epoch 192 | top1=0.2069 top2=0.2753 top3=0.3166 top4=0.3455 top5=0.3690 loss=0.114728 time=219.21s
original | epoch 193 | top1=0.2045 top2=0.2711 top3=0.3126 top4=0.3424 top5=0.3660 loss=0.114929 time=218.99s
