original | epoch 186 | top1=0.4560 top2=0.4911 top3=0.5127 top4=0.5291 top5=0.5422 loss=0.070224 time=463.39s
original | epoch 187 | top1=0.4649 top2=0.5003 top3=0.5204 top4=0.5370 top5=0.5508 loss=0.070487 time=463.66s
original | epoch 188 | top1=0.4743 top2=0.5098 top3=0.5308 top4=0.5474 top5=0.5605 loss=0.070512 time=463.97s
original | epoch 189 | top1=0.4659 top2=0.5008 top3=0.5223 top4=0.5386 top5=0.5527 loss=0.070803 time=463.25s
original | epoch 190 | top1=0.4863 top2=0.5193 top3=0.5398 top4=0.5555 top5=0.5686 loss=0.068474 time=463.32s
original | epoch 191 | top1=0.4638 top2=0.4982 top3=0.5191 top4=0.5349 top5=0.5487 loss=0.068866 time=463.41s
original | epoch 192 | top1=0.4713 top2=0.5073 top3=0.5287 top4=0.5453 top5=0.5591 loss=0.069645 time=463.10s
original | epoch 193 | top1=0.4635 top2=0.4989 top3=0.5201 top4=0.5371 top5=0.5504 loss=0.069474 time=463.22s
original | epoch 194 | top1=0.4764 top2=0.5116 top3=0.5331 top4=0.5491 top5=0.5627 loss=0.068977 time=463.38s
original | epoch 195 | top1=0.4804 top2=0.5160 top3=0.5373 top4=0.5541 top5=0.5676 loss=0.069675 time=463.21s
original | epoch 196 | top1=0.4886 top2=0.5229 top3=0.5433 top4=0.5593 top5=0.5726 loss=0.068514 time=463.09s
original | epoch 197 | top1=0.4809 top2=0.5169 top3=0.5383 top4=0.5553 top5=0.5691 loss=0.069145 time=463.17s
original | epoch 198 | top1=0.4757 top2=0.5114 top3=0.5338 top4=0.5504 top5=0.5642 loss=0.069331 time=463.16s
original | epoch 199 | top1=0.4694 top2=0.5053 top3=0.5274 top4=0.5445 top5=0.5582 loss=0.069351 time=462.93s
original | epoch 200 | top1=0.4718 top2=0.5072 top3=0.5277 top4=0.5444 top5=0.5581 loss=0.069075 time=463.14s
